Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_189,VPWR,li1,92.6900,95.2000,1.799953
FILLER_31_181,VPWR,li1,90.6200,95.2000,1.799953
FILLER_31_169,VPWR,li1,86.0200,95.2000,1.799953
FILLER_31_166,VPWR,li1,82.3400,95.2000,1.799953
FILLER_31_154,VPWR,li1,79.1200,95.2000,1.799953
FILLER_31_147,VPWR,li1,73.8300,95.2000,1.799953
FILLER_31_141,VPWR,li1,70.8400,95.2000,1.799953
FILLER_31_132,VPWR,li1,67.1600,95.2000,1.799954
FILLER_31_113,VPWR,li1,57.9600,95.2000,1.799957
FILLER_31_104,VPWR,li1,54.2800,95.2000,1.799959
FILLER_31_99,VPWR,li1,51.5200,95.2000,1.799960
FILLER_31_76,VPWR,li1,42.3200,95.2000,1.799967
FILLER_31_57,VPWR,li1,32.2000,95.2000,1.799979
FILLER_31_53,VPWR,li1,30.5900,95.2000,1.799979
FILLER_31_41,VPWR,li1,27.1400,95.2000,1.799982
FILLER_31_29,VPWR,li1,21.6200,95.2000,1.799988
FILLER_31_27,VPWR,li1,18.1700,95.2000,1.799988
FILLER_31_15,VPWR,li1,15.1800,95.2000,1.799988
FILLER_31_3,VPWR,li1,9.6600,95.2000,1.799988
FILLER_30_178,VPWR,li1,90.1600,95.2000,1.799953
FILLER_30_166,VPWR,li1,84.6400,95.2000,1.799953
FILLER_30_154,VPWR,li1,79.1200,95.2000,1.799953
FILLER_30_138,VPWR,li1,69.4600,95.2000,1.799954
FILLER_30_121,VPWR,li1,61.8700,95.2000,1.799956
FILLER_30_109,VPWR,li1,57.5000,95.2000,1.799958
FILLER_30_85,VPWR,li1,45.0800,95.2000,1.799965
FILLER_30_83,VPWR,li1,43.9300,95.2000,1.799967
FILLER_30_77,VPWR,li1,42.3200,95.2000,1.799967
FILLER_30_66,VPWR,li1,36.3400,95.2000,1.799974
FILLER_30_53,VPWR,li1,30.5900,95.2000,1.799979
FILLER_30_40,VPWR,li1,25.3000,95.2000,1.799984
FILLER_30_29,VPWR,li1,19.7800,95.2000,1.799988
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.799988
FILLER_30_19,VPWR,li1,16.1000,95.2000,1.799988
FILLER_30_7,VPWR,li1,11.5000,95.2000,1.799988
FILLER_29_189,VPWR,li1,92.6900,89.7600,1.799973
FILLER_29_181,VPWR,li1,90.6200,89.7600,1.799973
FILLER_29_169,VPWR,li1,86.0200,89.7600,1.799973
FILLER_29_166,VPWR,li1,82.3400,89.7600,1.799973
FILLER_29_158,VPWR,li1,80.0400,89.7600,1.799973
