Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_31_189,VGND,li1,92.6900,97.9200,0.000031
FILLER_31_181,VGND,li1,90.6200,97.9200,0.000031
FILLER_31_169,VGND,li1,86.0200,97.9200,0.000031
FILLER_31_166,VGND,li1,82.3400,97.9200,0.000031
FILLER_31_154,VGND,li1,79.1200,97.9200,0.000031
FILLER_31_147,VGND,li1,73.8300,97.9200,0.000031
FILLER_31_141,VGND,li1,70.8400,97.9200,0.000031
FILLER_31_132,VGND,li1,67.1600,97.9200,0.000031
FILLER_31_113,VGND,li1,57.9600,97.9200,0.000028
FILLER_31_104,VGND,li1,54.2800,97.9200,0.000026
FILLER_31_99,VGND,li1,51.5200,97.9200,0.000024
FILLER_31_76,VGND,li1,42.3200,97.9200,0.000020
FILLER_31_57,VGND,li1,32.2000,97.9200,0.000012
FILLER_31_53,VGND,li1,30.5900,97.9200,0.000012
FILLER_31_41,VGND,li1,27.1400,97.9200,0.000009
FILLER_31_29,VGND,li1,21.6200,97.9200,0.000008
FILLER_31_27,VGND,li1,18.1700,97.9200,0.000008
FILLER_31_15,VGND,li1,15.1800,97.9200,0.000008
FILLER_31_3,VGND,li1,9.6600,97.9200,0.000008
FILLER_30_178,VGND,li1,90.1600,92.4800,0.000031
FILLER_30_166,VGND,li1,84.6400,92.4800,0.000031
FILLER_30_154,VGND,li1,79.1200,92.4800,0.000031
FILLER_30_138,VGND,li1,69.4600,92.4800,0.000031
FILLER_30_121,VGND,li1,61.8700,92.4800,0.000030
FILLER_30_109,VGND,li1,57.5000,92.4800,0.000029
FILLER_30_85,VGND,li1,45.0800,92.4800,0.000024
FILLER_30_83,VGND,li1,43.9300,92.4800,0.000022
FILLER_30_77,VGND,li1,42.3200,92.4800,0.000022
FILLER_30_66,VGND,li1,36.3400,92.4800,0.000018
FILLER_30_53,VGND,li1,30.5900,92.4800,0.000014
FILLER_30_40,VGND,li1,25.3000,92.4800,0.000009
FILLER_30_29,VGND,li1,19.7800,92.4800,0.000010
FILLER_30_27,VGND,li1,18.1700,92.4800,0.000010
FILLER_30_19,VGND,li1,16.1000,92.4800,0.000010
FILLER_30_7,VGND,li1,11.5000,92.4800,0.000010
FILLER_29_189,VGND,li1,92.6900,92.4800,0.000031
FILLER_29_181,VGND,li1,90.6200,92.4800,0.000031
FILLER_29_169,VGND,li1,86.0200,92.4800,0.000031
FILLER_29_166,VGND,li1,82.3400,92.4800,0.000031
FILLER_29_158,VGND,li1,80.0400,92.4800,0.000031
FILLER_29_145,VGND,li1,72.4500,92.4800,0.000031
FILLER_29_141,VGND,li1,70.6100,92.4800,0.000031
FILLER_29_125,VGND,li1,63.4800,92.4800,0.000030
FILLER_29_117,VGND,li1,59.5700,92.4800,0.000029
FILLER_29_92,VGND,li1,48.7600,92.4800,0.000026
FILLER_29_84,VGND,li1,44.3900,92.4800,0.000024
FILLER_29_43,VGND,li1,26.2200,92.4800,0.000009
FILLER_29_31,VGND,li1,22.5400,92.4800,0.000010
FILLER_29_19,VGND,li1,17.0200,92.4800,0.000010
FILLER_29_7,VGND,li1,11.5000,92.4800,0.000010
FILLER_28_187,VGND,li1,92.2300,87.0400,0.000011
FILLER_28_175,VGND,li1,88.7800,87.0400,0.000011
FILLER_28_163,VGND,li1,83.2600,87.0400,0.000011
FILLER_28_153,VGND,li1,76.3600,87.0400,0.000011
FILLER_28_141,VGND,li1,73.1400,87.0400,0.000011
FILLER_28_136,VGND,li1,69.0000,87.0400,0.000011
FILLER_28_119,VGND,li1,60.9500,87.0400,0.000010
FILLER_28_112,VGND,li1,57.7300,87.0400,0.000010
FILLER_28_103,VGND,li1,53.1300,87.0400,0.000009
FILLER_28_99,VGND,li1,51.9800,87.0400,0.000009
FILLER_28_91,VGND,li1,47.6100,87.0400,0.000009
FILLER_28_85,VGND,li1,46.0000,87.0400,0.000009
FILLER_28_81,VGND,li1,43.4700,87.0400,0.000008
FILLER_28_69,VGND,li1,38.6400,87.0400,0.000007
FILLER_28_59,VGND,li1,33.3500,87.0400,0.000006
FILLER_28_50,VGND,li1,29.4400,87.0400,0.000005
FILLER_28_29,VGND,li1,19.0900,87.0400,0.000004
FILLER_28_27,VGND,li1,18.1700,87.0400,0.000004
FILLER_28_15,VGND,li1,15.1800,87.0400,0.000004
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000004
FILLER_27_189,VGND,li1,92.6900,87.0400,0.000011
FILLER_27_181,VGND,li1,90.6200,87.0400,0.000011
