net,length_um
net52,275.96µm
net46,260.035µm
net50,246.59µm
clknet_0_clk,242.155µm
net42,241µm
net62,238.2µm
net56,237.51µm
net48,236.14µm
net38,223.56µm
net40,221.74µm
net67,221.42µm
net64,218.96µm
net44,218.41µm
net58,205.68µm
net49,187.96µm
net59,185.49µm
net54,184.11µm
net47,175.42µm
net57,174.575µm
net60,172.76µm
net55,167.74µm
net63,165.05µm
net65,164.3µm
net78,159.71µm
net70,148.62µm
net74,142.88µm
net39,137.42µm
net61,133.44µm
net41,132.04µm
net76,126.8µm
net68,125.33µm
net73,124.37µm
net71,123.3µm
net43,119.68µm
net45,115.42µm
net53,112.56µm
net19,109.86µm
clk,108.77µm
net51,108.72µm
net66,99.6µm
net69,98.715µm
net8,94.42µm
net21,89.39µm
net15,86.24µm
_137_,84.48µm
net6,84.16µm
net11,78.77µm
net13,78.76µm
clknet_4_3_0_clk,78.02µm
net77,77.82µm
clknet_4_5_0_clk,77.7µm
net12,77.56µm
clknet_4_10_0_clk,76.14µm
net10,75.97µm
net18,73.83µm
net72,73.8µm
_262_,73.48µm
clknet_4_7_0_clk,72.235µm
net20,71.035µm
net5,70.34µm
clknet_4_15_0_clk,69.9µm
net9,69.62µm
_261_,69.36µm
net16,69.06µm
_132_,67.46µm
clknet_4_11_0_clk,63.055µm
net75,62.54µm
clknet_4_8_0_clk,61.4µm
net7,60.25µm
_259_,58.86µm
net14,55.87µm
net36,55.66µm
clknet_4_2_0_clk,54.8µm
clknet_4_4_0_clk,54.58µm
clknet_4_6_0_clk,54µm
clknet_4_13_0_clk,53.96µm
net17,52.38µm
clknet_4_1_0_clk,51.14µm
clknet_4_12_0_clk,49.06µm
clknet_4_9_0_clk,47.22µm
_260_,46.85µm
clknet_4_14_0_clk,46.28µm
clknet_4_0_0_clk,42.42µm
_265_,41.7µm
_266_,40.48µm
_264_,39.38µm
net4,35.34µm
_263_,34.1µm
_135_,30.16µm
_195_,30.1µm
memory\[2\]\[1\],29.4µm
net35,26.9µm
net37,26.62µm
_147_,26.16µm
_129_,26.14µm
_170_,25.34µm
_159_,25.04µm
memory\[6\]\[3\],24.3µm
memory\[0\]\[6\],23.64µm
_141_,23.58µm
memory\[3\]\[1\],23.18µm
net2,22.92µm
_191_,22.44µm
memory\[3\]\[10\],22.26µm
_201_,22.24µm
net33,22.1µm
_130_,22.06µm
_229_,22.02µm
_128_,21.74µm
_146_,21.66µm
net22,21.66µm
memory\[5\]\[4\],21.52µm
memory\[2\]\[10\],21.28µm
net3,21.2µm
_164_,20.8µm
memory\[7\]\[3\],20.78µm
net28,20.42µm
_231_,20.22µm
_239_,19.98µm
