Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_38_225,VGND,li1,109.7100,114.2400,0.000019
FILLER_38_221,VGND,li1,107.8700,114.2400,0.000019
FILLER_38_209,VGND,li1,104.4200,114.2400,0.000019
FILLER_38_197,VGND,li1,98.9000,114.2400,0.000018
FILLER_38_193,VGND,li1,94.9900,114.2400,0.000018
FILLER_38_181,VGND,li1,91.5400,114.2400,0.000017
FILLER_38_169,VGND,li1,86.0200,114.2400,0.000017
FILLER_38_166,VGND,li1,82.3400,114.2400,0.000017
FILLER_38_154,VGND,li1,79.1200,114.2400,0.000016
FILLER_38_149,VGND,li1,74.2900,114.2400,0.000016
FILLER_38_141,VGND,li1,72.2200,114.2400,0.000016
FILLER_38_133,VGND,li1,67.3900,114.2400,0.000015
FILLER_38_125,VGND,li1,64.8600,114.2400,0.000015
FILLER_38_113,VGND,li1,60.2600,114.2400,0.000014
FILLER_38_111,VGND,li1,56.8100,114.2400,0.000013
FILLER_38_105,VGND,li1,55.2000,114.2400,0.000013
FILLER_38_98,VGND,li1,51.2900,114.2400,0.000012
FILLER_38_93,VGND,li1,48.5300,114.2400,0.000011
FILLER_38_85,VGND,li1,46.4600,114.2400,0.000010
FILLER_38_82,VGND,li1,43.7000,114.2400,0.000010
FILLER_38_70,VGND,li1,40.4800,114.2400,0.000009
FILLER_38_65,VGND,li1,35.6500,114.2400,0.000007
FILLER_38_57,VGND,li1,33.5800,114.2400,0.000007
FILLER_38_53,VGND,li1,30.5900,114.2400,0.000005
FILLER_38_41,VGND,li1,27.1400,114.2400,0.000004
FILLER_38_29,VGND,li1,21.6200,114.2400,0.000004
FILLER_38_27,VGND,li1,18.1700,114.2400,0.000004
FILLER_38_15,VGND,li1,15.1800,114.2400,0.000004
FILLER_38_3,VGND,li1,9.6600,114.2400,0.000004
FILLER_37_225,VGND,li1,109.7100,114.2400,0.000019
FILLER_37_213,VGND,li1,104.1900,114.2400,0.000019
FILLER_37_205,VGND,li1,101.6600,114.2400,0.000018
FILLER_37_193,VGND,li1,97.0600,114.2400,0.000018
FILLER_37_181,VGND,li1,91.5400,114.2400,0.000017
FILLER_37_169,VGND,li1,86.0200,114.2400,0.000017
FILLER_37_167,VGND,li1,82.5700,114.2400,0.000017
FILLER_37_161,VGND,li1,80.9600,114.2400,0.000017
FILLER_37_149,VGND,li1,76.8200,114.2400,0.000016
FILLER_37_137,VGND,li1,71.3000,114.2400,0.000016
FILLER_37_125,VGND,li1,65.7800,114.2400,0.000015
FILLER_37_113,VGND,li1,60.2600,114.2400,0.000014
FILLER_37_111,VGND,li1,56.8100,114.2400,0.000013
FILLER_37_105,VGND,li1,55.2000,114.2400,0.000013
FILLER_37_93,VGND,li1,51.0600,114.2400,0.000012
FILLER_37_81,VGND,li1,45.5400,114.2400,0.000010
FILLER_37_69,VGND,li1,40.0200,114.2400,0.000009
FILLER_37_57,VGND,li1,34.5000,114.2400,0.000007
FILLER_37_55,VGND,li1,31.0500,114.2400,0.000005
FILLER_37_51,VGND,li1,29.9000,114.2400,0.000005
