net,length_um
_370_,202.59µm
net54,202.51µm
net106,199.15µm
net57,189.63µm
_368_,188.055µm
_371_,182.75µm
_361_,141.89µm
net105,136.2µm
_360_,130.43µm
net71,123.61µm
net56,119.94µm
_367_,117.26µm
_340_,114.75µm
net5,105.1µm
net68,103.21µm
net79,102.56µm
net85,100.52µm
net86,100.47µm
_339_,99.185µm
net84,99.105µm
net95,98.98µm
net101,95.72µm
_362_,95.485µm
net62,94.71µm
_162_,94.31µm
_345_,94.175µm
net78,92.94µm
net67,92.27µm
net96,89.24µm
net100,87.735µm
net58,87.18µm
_078_,83.82µm
net83,83.605µm
net15,83.335µm
net104,83.14µm
net60,82.23µm
_084_,81.78µm
net64,80.155µm
net103,79.825µm
net74,79.76µm
net90,79.25µm
_016_,78.19µm
net92,76.91µm
net81,76.86µm
_057_,76.77µm
net70,76.4µm
net61,75.35µm
_064_,74.29µm
net89,74.225µm
net66,74.01µm
net12,73.94µm
net87,72.835µm
net98,72.615µm
net77,71.6µm
net73,71.04µm
_348_,69.7µm
_366_,68.585µm
net31,67.44µm
net20,67.43µm
_326_,66.96µm
_363_,66.725µm
_332_,64.37µm
_165_,63.71µm
net28,63.425µm
net19,61.445µm
net97,61.34µm
net94,61.25µm
_346_,59.78µm
_171_,59.24µm
_049_,57.36µm
net72,57.36µm
net6,56.88µm
_005_,56.14µm
net32,55.22µm
_113_,53.88µm
net35,53.64µm
net13,53.52µm
net80,52.3µm
_144_,52.2µm
_328_,51.1µm
net22,50.76µm
_095_,50.52µm
net75,50.46µm
_120_,49.365µm
_174_,49.34µm
net93,49.265µm
net36,49.25µm
net3,49.14µm
net55,47.72µm
_364_,47.17µm
net65,46.61µm
net69,46.56µm
_093_,46.42µm
net59,46.26µm
_205_,44.26µm
net10,43.82µm
net91,42.525µm
_219_,42.44µm
net82,42.125µm
_118_,41.81µm
_074_,41.78µm
net24,41.54µm
_157_,40.78µm
net7,40.62µm
_079_,40.265µm
net23,39.86µm
_036_,39.765µm
net88,39.185µm
net52,39.1µm
_335_,39.08µm
_158_,38.69µm
_190_,38.36µm
_327_,38.32µm
_099_,37.76µm
_017_,37.46µm
_176_,37.26µm
net102,36.82µm
_010_,35.98µm
_247_,35.9µm
net4,35.02µm
_033_,34.86µm
net25,34.74µm
net26,34.15µm
_330_,33.015µm
net17,32.96µm
_231_,32.72µm
net49,32.22µm
_220_,32.12µm
_338_,31.82µm
net34,31.445µm
_238_,31.4µm
_137_,31.08µm
_200_,30.94µm
_050_,30.8µm
_186_,30.51µm
_087_,30.19µm
net33,30.07µm
_358_,29.96µm
_085_,29.335µm
net14,29.2µm
_216_,29.04µm
_372_,28.96µm
_251_,28.58µm
_341_,28.43µm
_135_,27.68µm
_350_,27.52µm
_041_,27.4µm
_030_,27.12µm
net18,26.64µm
_349_,26.31µm
_221_,26.04µm
_239_,25.9µm
_325_,25.58µm
_262_,25.5µm
_344_,24.68µm
_119_,24.61µm
_308_,24.42µm
net99,24.42µm
_094_,23.94µm
net11,23.88µm
net50,23.68µm
net76,23.3µm
_283_,23.08µm
