net,length_um
net23,30.395µm
net22,27.22µm
_00_,24.36µm
net5,24.16µm
net7,22.42µm
net2,21.96µm
net1,19.925µm
net3,18.62µm
net6,18.56µm
net21,16.55µm
func[1],16.3µm
net14,15µm
_06_,13.46µm
_02_,13.02µm
_03_,13µm
net4,11.32µm
func[3],10.69µm
ALUControl[2],10.56µm
_09_,10µm
MemWrite,9.64µm
opcode[1],9.4µm
_04_,7.445µm
_05_,7.1µm
ALUControl[0],6.91µm
RegWrite,6.69µm
func[0],6.67µm
ALUSrc,6.43µm
net13,6.14µm
net17,5.84µm
ALUControl[3],5.75µm
PCSrc,5.75µm
zero,5.63µm
ALUControl[1],5.07µm
ImmSrc[0],5.07µm
ImmSrc[1],5.07µm
ResultSrc,5.07µm
opcode[0],4.61µm
opcode[2],4.61µm
net15,4.56µm
func[2],3.93µm
net20,3.88µm
_07_,3.66µm
net9,3.42µm
net16,3.42µm
net19,3.1µm
net10,2.96µm
_01_,2.62µm
_10_,2.62µm
net12,2.62µm
net11,2.5µm
_08_,2.16µm
net8,2.16µm
net18,2.04µm
