Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_29,VGND,li1,20.7000,32.6400,0.000003
FILLER_7_27,VGND,li1,18.1700,32.6400,0.000003
FILLER_7_21,VGND,li1,15.8700,32.6400,0.000003
FILLER_7_16,VGND,li1,13.1100,32.6400,0.000003
FILLER_7_12,VGND,li1,11.2700,32.6400,0.000003
FILLER_7_6,VGND,li1,8.9700,32.6400,0.000003
FILLER_6_43,VGND,li1,25.7600,27.2000,0.000002
FILLER_6_26,VGND,li1,17.9400,27.2000,0.000002
FILLER_6_18,VGND,li1,15.6400,27.2000,0.000002
FILLER_6_6,VGND,li1,8.7400,27.2000,0.000003
FILLER_5_40,VGND,li1,24.1500,27.2000,0.000002
FILLER_5_28,VGND,li1,19.0900,27.2000,0.000002
FILLER_5_23,VGND,li1,16.3300,27.2000,0.000002
FILLER_5_15,VGND,li1,14.2600,27.2000,0.000002
FILLER_5_7,VGND,li1,8.9700,27.2000,0.000003
FILLER_4_34,VGND,li1,22.0800,21.7600,0.000001
FILLER_4_20,VGND,li1,14.9500,21.7600,0.000001
FILLER_4_16,VGND,li1,13.8000,21.7600,0.000001
FILLER_4_7,VGND,li1,9.2000,21.7600,0.000001
FILLER_3_42,VGND,li1,25.5300,21.7600,0.000001
FILLER_3_33,VGND,li1,21.6200,21.7600,0.000001
FILLER_3_21,VGND,li1,17.9400,21.7600,0.000001
FILLER_3_7,VGND,li1,8.9700,21.7600,0.000001
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000001
FILLER_2_38,VGND,li1,23.9200,16.3200,0.000001
FILLER_2_29,VGND,li1,19.0900,16.3200,0.000001
FILLER_2_27,VGND,li1,18.1700,16.3200,0.000002
FILLER_2_19,VGND,li1,16.1000,16.3200,0.000002
FILLER_2_7,VGND,li1,11.5000,16.3200,0.000002
FILLER_1_44,VGND,li1,25.9900,16.3200,0.000001
FILLER_1_18,VGND,li1,14.4900,16.3200,0.000002
FILLER_1_10,VGND,li1,11.9600,16.3200,0.000002
FILLER_0_35,VGND,li1,22.0800,10.8800,0.000002
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000003
FILLER_0_13,VGND,li1,11.7300,10.8800,0.000003
FILLER_0_9,VGND,li1,10.5800,10.8800,0.000003
fanout23,VGND,li1,12.1900,32.6400,0.000003
fanout22,VGND,li1,10.3500,32.6400,0.000003
wire21,VGND,li1,23.6900,21.7600,0.000001
max_cap20,VGND,li1,22.3100,16.3200,0.000001
output19,VGND,li1,25.3000,27.2000,0.000002
output18,VGND,li1,23.4600,32.6400,0.000002
output17,VGND,li1,7.8200,21.7600,0.000001
output16,VGND,li1,14.2600,32.6400,0.000003
output15,VGND,li1,7.8200,27.2000,0.000003
output14,VGND,li1,7.8200,16.3200,0.000002
output13,VGND,li1,25.3000,32.6400,0.000002
output12,VGND,li1,25.3000,21.7600,0.000001
output11,VGND,li1,14.2600,10.8800,0.000003
output10,VGND,li1,25.3000,10.8800,0.000002
output9,VGND,li1,23.4600,10.8800,0.000002
input8,VGND,li1,7.5900,10.8800,0.000003
input7,VGND,li1,7.5900,27.2000,0.000003
input6,VGND,li1,17.2500,32.6400,0.000003
input5,VGND,li1,7.5900,32.6400,0.000003
input4,VGND,li1,20.4700,27.2000,0.000002
input3,VGND,li1,25.5300,16.3200,0.000001
input2,VGND,li1,12.6500,10.8800,0.000003
input1,VGND,li1,8.9700,10.8800,0.000003
TAP_TAPCELL_ROW_7_20,VGND,li1,18.6300,32.3480,0.000003
TAP_TAPCELL_ROW_6_19,VGND,li1,18.6300,27.4910,0.000002
TAP_TAPCELL_ROW_4_18,VGND,li1,18.6300,22.0510,0.000001
TAP_TAPCELL_ROW_2_17,VGND,li1,18.6300,16.6110,0.000001
TAP_TAPCELL_ROW_0_16,VGND,li1,18.6300,11.1710,0.000003
PHY_EDGE_ROW_7_Left_15,VGND,li1,6.2100,32.6400,0.000003
PHY_EDGE_ROW_6_Left_14,VGND,li1,6.2100,27.2000,0.000003
PHY_EDGE_ROW_5_Left_13,VGND,li1,6.2100,27.2000,0.000003
PHY_EDGE_ROW_4_Left_12,VGND,li1,6.2100,21.7600,0.000001
