Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_7_29,VPWR,li1,20.7000,29.9200,1.799997
FILLER_7_27,VPWR,li1,18.1700,29.9200,1.799997
FILLER_7_21,VPWR,li1,15.8700,29.9200,1.799997
FILLER_7_16,VPWR,li1,13.1100,29.9200,1.799996
FILLER_7_12,VPWR,li1,11.2700,29.9200,1.799996
FILLER_7_6,VPWR,li1,8.9700,29.9200,1.799996
FILLER_6_43,VPWR,li1,25.7600,29.9200,1.799997
FILLER_6_26,VPWR,li1,17.9400,29.9200,1.799997
FILLER_6_18,VPWR,li1,15.6400,29.9200,1.799997
FILLER_6_6,VPWR,li1,8.7400,29.9200,1.799996
FILLER_5_40,VPWR,li1,24.1500,24.4800,1.799998
FILLER_5_28,VPWR,li1,19.0900,24.4800,1.799998
FILLER_5_23,VPWR,li1,16.3300,24.4800,1.799998
FILLER_5_15,VPWR,li1,14.2600,24.4800,1.799998
FILLER_5_7,VPWR,li1,8.9700,24.4800,1.799997
FILLER_4_34,VPWR,li1,22.0800,24.4800,1.799998
FILLER_4_20,VPWR,li1,14.9500,24.4800,1.799998
FILLER_4_16,VPWR,li1,13.8000,24.4800,1.799998
FILLER_4_7,VPWR,li1,9.2000,24.4800,1.799997
FILLER_3_42,VPWR,li1,25.5300,19.0400,1.799999
FILLER_3_33,VPWR,li1,21.6200,19.0400,1.799999
FILLER_3_21,VPWR,li1,17.9400,19.0400,1.799999
FILLER_3_7,VPWR,li1,8.9700,19.0400,1.799999
FILLER_3_3,VPWR,li1,7.8200,19.0400,1.799998
FILLER_2_38,VPWR,li1,23.9200,19.0400,1.799999
FILLER_2_29,VPWR,li1,19.0900,19.0400,1.799999
FILLER_2_27,VPWR,li1,18.1700,19.0400,1.799999
FILLER_2_19,VPWR,li1,16.1000,19.0400,1.799999
FILLER_2_7,VPWR,li1,11.5000,19.0400,1.799999
FILLER_1_44,VPWR,li1,25.9900,13.6000,1.799998
FILLER_1_18,VPWR,li1,14.4900,13.6000,1.799997
FILLER_1_10,VPWR,li1,11.9600,13.6000,1.799997
FILLER_0_35,VPWR,li1,22.0800,13.6000,1.799998
FILLER_0_27,VPWR,li1,18.1700,13.6000,1.799997
FILLER_0_13,VPWR,li1,11.7300,13.6000,1.799997
FILLER_0_9,VPWR,li1,10.5800,13.6000,1.799997
fanout23,VPWR,li1,12.1900,29.9200,1.799996
fanout22,VPWR,li1,10.3500,29.9200,1.799996
wire21,VPWR,li1,23.6900,24.4800,1.799998
max_cap20,VPWR,li1,22.3100,19.0400,1.799999
output19,VPWR,li1,25.3000,24.4800,1.799998
output18,VPWR,li1,23.4600,29.9200,1.799997
output17,VPWR,li1,7.8200,24.4800,1.799997
output16,VPWR,li1,14.2600,29.9200,1.799996
output15,VPWR,li1,7.8200,24.4800,1.799997
output14,VPWR,li1,7.8200,19.0400,1.799998
output13,VPWR,li1,25.3000,29.9200,1.799997
output12,VPWR,li1,25.3000,24.4800,1.799998
output11,VPWR,li1,14.2600,13.6000,1.799997
output10,VPWR,li1,25.3000,13.6000,1.799998
output9,VPWR,li1,23.4600,13.6000,1.799998
input8,VPWR,li1,7.5900,13.6000,1.799997
input7,VPWR,li1,7.5900,29.9200,1.799996
input6,VPWR,li1,17.2500,29.9200,1.799997
input5,VPWR,li1,7.5900,29.9200,1.799996
input4,VPWR,li1,20.4700,24.4800,1.799998
input3,VPWR,li1,25.5300,19.0400,1.799999
input2,VPWR,li1,12.6500,13.6000,1.799997
input1,VPWR,li1,8.9700,13.6000,1.799997
TAP_TAPCELL_ROW_7_20,VPWR,li1,18.6300,30.2260,1.799997
TAP_TAPCELL_ROW_6_19,VPWR,li1,18.6300,29.6130,1.799997
TAP_TAPCELL_ROW_4_18,VPWR,li1,18.6300,24.1730,1.799998
TAP_TAPCELL_ROW_2_17,VPWR,li1,18.6300,18.7330,1.799999
TAP_TAPCELL_ROW_0_16,VPWR,li1,18.6300,13.2930,1.799998
PHY_EDGE_ROW_7_Left_15,VPWR,li1,6.2100,29.9200,1.799996
PHY_EDGE_ROW_6_Left_14,VPWR,li1,6.2100,29.9200,1.799996
PHY_EDGE_ROW_5_Left_13,VPWR,li1,6.2100,24.4800,1.799997
PHY_EDGE_ROW_4_Left_12,VPWR,li1,6.2100,24.4800,1.799997
PHY_EDGE_ROW_3_Left_11,VPWR,li1,6.2100,19.0400,1.799998
PHY_EDGE_ROW_2_Left_10,VPWR,li1,6.2100,19.0400,1.799998
PHY_EDGE_ROW_1_Left_9,VPWR,li1,6.2100,13.6000,1.799997
PHY_EDGE_ROW_0_Left_8,VPWR,li1,6.2100,13.6000,1.799997
PHY_EDGE_ROW_7_Right_7,VPWR,li1,26.9100,29.9200,1.799997
PHY_EDGE_ROW_6_Right_6,VPWR,li1,26.9100,29.9200,1.799997
PHY_EDGE_ROW_5_Right_5,VPWR,li1,26.9100,24.4800,1.799998
PHY_EDGE_ROW_4_Right_4,VPWR,li1,26.9100,24.4800,1.799998
PHY_EDGE_ROW_3_Right_3,VPWR,li1,26.9100,19.0400,1.799999
PHY_EDGE_ROW_2_Right_2,VPWR,li1,26.9100,19.0400,1.799999
PHY_EDGE_ROW_1_Right_1,VPWR,li1,26.9100,13.6000,1.799998
PHY_EDGE_ROW_0_Right_0,VPWR,li1,26.9100,13.6000,1.799998
_32_,VPWR,li1,13.8000,19.0400,1.799999
_31_,VPWR,li1,11.2700,24.4800,1.799997
_30_,VPWR,li1,8.5100,13.6000,1.799997
_29_,VPWR,li1,16.7900,24.4800,1.799998
_28_,VPWR,li1,10.8100,24.4800,1.799997
_27_,VPWR,li1,23.6900,19.0400,1.799999
_26_,VPWR,li1,17.0200,13.6000,1.799997
_25_,VPWR,li1,24.1500,13.6000,1.799998
_24_,VPWR,li1,20.4700,19.0400,1.799999
_23_,VPWR,li1,16.5600,13.6000,1.799997
_22_,VPWR,li1,20.7000,13.6000,1.799998
_21_,VPWR,li1,17.4800,24.4800,1.799998
_20_,VPWR,li1,10.8100,19.0400,1.799999
_19_,VPWR,li1,20.2400,13.6000,1.799998
_18_,VPWR,li1,20.0100,24.4800,1.799998
_17_,VPWR,li1,24.3800,29.9200,1.799997
_16_,VPWR,li1,23.2300,24.4800,1.799998
_15_,VPWR,li1,20.0100,29.9200,1.799997
_14_,VPWR,li1,10.8100,29.9200,1.799996
_13_,VPWR,li1,21.8500,24.4800,1.799998
