net,length_um
clknet_1_0__leaf_clk,122.165µm
_021_,105.18µm
net11,102.86µm
net8,95.28µm
net35,90.84µm
net10,89.93µm
net33,87.87µm
_030_,84.75µm
net7,80.1µm
clknet_1_1__leaf_clk,79.96µm
_025_,73.52µm
_037_,72.775µm
clk,69.23µm
net9,58.42µm
net17,56.6µm
net21,53.04µm
net28,52.92µm
net19,51.26µm
net26,48.52µm
net30,48.04µm
net23,47.06µm
_026_,46.915µm
net16,46.78µm
net24,45.22µm
net31,41.16µm
net18,40.24µm
net22,37.02µm
net34,37.02µm
_039_,32.8µm
_031_,29.9µm
net32,26.04µm
_028_,24.8µm
net2,23.12µm
_000_,22.12µm
_008_,20.64µm
_016_,20.62µm
net6,20.4µm
_027_,20.08µm
net12,19.56µm
_018_,18.61µm
_040_,18.6µm
_020_,18.22µm
clknet_0_clk,18.16µm
_013_,18.045µm
_007_,17.725µm
net13,17.64µm
_050_,17.26µm
_044_,17.06µm
_017_,16.94µm
net1,16.88µm
_003_,16.265µm
_010_,15.58µm
net14,15.52µm
_041_,15.24µm
net15,14.86µm
net27,14.78µm
net29,14.32µm
_047_,14.04µm
_049_,13.92µm
_034_,13.06µm
_056_,13µm
_005_,12.98µm
net25,12.62µm
_015_,12.56µm
_051_,12.36µm
_001_,12.265µm
_006_,12.085µm
_009_,12µm
_038_,11.84µm
_002_,11.52µm
_023_,11.415µm
instruction[7],11.24µm
net3,11.1µm
_014_,10.8µm
_022_,10.74µm
_045_,10.68µm
instruction[11],10.32µm
instruction[15],10.32µm
instruction[5],10.32µm
instruction[9],10.32µm
_053_,10.28µm
_029_,10.22µm
_057_,9.98µm
_011_,9.465µm
net4,9.42µm
_012_,9.24µm
_019_,9.24µm
instruction[1],8.96µm
instruction[2],8.96µm
_004_,8.86µm
net5,8.72µm
_046_,7.18µm
_043_,7.06µm
_024_,6.98µm
pc[14],6.31µm
_052_,6.26µm
_054_,6.18µm
instruction[10],6.09µm
pc[10],5.97µm
pc[11],5.97µm
pc[1],5.97µm
_042_,5.84µm
_033_,5.8µm
instruction[12],5.75µm
instruction[4],5.75µm
instruction[6],5.75µm
instruction[8],5.75µm
pc[15],5.63µm
pc[6],5.63µm
instruction[3],5.41µm
pc[2],5.41µm
pc[4],5.41µm
pc[13],5.29µm
instruction[0],5.07µm
instruction[13],5.07µm
instruction[14],5.07µm
pc[12],4.95µm
pc[5],4.95µm
pc[8],4.95µm
_048_,4.92µm
_055_,4.8µm
pc[3],4.61µm
pc[7],4.61µm
pc[9],4.61µm
net20,4.46µm
_032_,4µm
_036_,1.94µm
_035_,0.8µm
