Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_45_265,VGND,li1,128.8000,136.0000,0.000000
FILLER_45_253,VGND,li1,124.6600,136.0000,0.000000
FILLER_45_249,VGND,li1,120.7500,136.0000,0.000000
FILLER_45_237,VGND,li1,117.3000,136.0000,0.000000
FILLER_45_225,VGND,li1,111.7800,136.0000,0.000000
FILLER_45_221,VGND,li1,107.8700,136.0000,0.000000
FILLER_45_209,VGND,li1,104.4200,136.0000,0.000000
FILLER_45_197,VGND,li1,98.9000,136.0000,0.000000
FILLER_45_193,VGND,li1,94.9900,136.0000,0.000000
FILLER_45_181,VGND,li1,91.5400,136.0000,0.000000
FILLER_45_169,VGND,li1,86.0200,136.0000,0.000000
FILLER_45_167,VGND,li1,82.5700,136.0000,0.000000
FILLER_45_161,VGND,li1,80.9600,136.0000,0.000000
FILLER_45_154,VGND,li1,77.0500,136.0000,0.000000
FILLER_45_149,VGND,li1,74.2900,136.0000,0.000000
FILLER_45_141,VGND,li1,72.2200,136.0000,0.000000
FILLER_45_139,VGND,li1,69.6900,136.0000,0.000000
FILLER_45_133,VGND,li1,68.0800,136.0000,0.000000
FILLER_45_125,VGND,li1,63.9400,136.0000,0.000000
FILLER_45_113,VGND,li1,60.2600,136.0000,0.000000
FILLER_45_105,VGND,li1,54.5100,136.0000,0.000000
FILLER_45_97,VGND,li1,51.0600,136.0000,0.000000
FILLER_45_85,VGND,li1,47.3800,136.0000,0.000000
FILLER_45_81,VGND,li1,43.4700,136.0000,0.000000
FILLER_45_69,VGND,li1,40.0200,136.0000,0.000000
FILLER_45_57,VGND,li1,34.5000,136.0000,0.000000
FILLER_45_53,VGND,li1,30.5900,136.0000,0.000000
FILLER_45_41,VGND,li1,27.1400,136.0000,0.000000
FILLER_45_29,VGND,li1,21.6200,136.0000,0.000000
FILLER_45_27,VGND,li1,18.1700,136.0000,0.000000
FILLER_45_15,VGND,li1,15.1800,136.0000,0.000000
FILLER_45_3,VGND,li1,9.6600,136.0000,0.000000
FILLER_44_265,VGND,li1,128.8000,130.5600,0.000000
