Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_45_265,VPWR,li1,128.8000,133.2800,1.800000
FILLER_45_253,VPWR,li1,124.6600,133.2800,1.800000
FILLER_45_249,VPWR,li1,120.7500,133.2800,1.800000
FILLER_45_237,VPWR,li1,117.3000,133.2800,1.800000
FILLER_45_225,VPWR,li1,111.7800,133.2800,1.800000
FILLER_45_221,VPWR,li1,107.8700,133.2800,1.800000
FILLER_45_209,VPWR,li1,104.4200,133.2800,1.800000
FILLER_45_197,VPWR,li1,98.9000,133.2800,1.800000
FILLER_45_193,VPWR,li1,94.9900,133.2800,1.800000
FILLER_45_181,VPWR,li1,91.5400,133.2800,1.800000
FILLER_45_169,VPWR,li1,86.0200,133.2800,1.800000
FILLER_45_167,VPWR,li1,82.5700,133.2800,1.800000
FILLER_45_161,VPWR,li1,80.9600,133.2800,1.800000
FILLER_45_154,VPWR,li1,77.0500,133.2800,1.800000
FILLER_45_149,VPWR,li1,74.2900,133.2800,1.800000
FILLER_45_141,VPWR,li1,72.2200,133.2800,1.800000
FILLER_45_139,VPWR,li1,69.6900,133.2800,1.800000
FILLER_45_133,VPWR,li1,68.0800,133.2800,1.800000
FILLER_45_125,VPWR,li1,63.9400,133.2800,1.800000
FILLER_45_113,VPWR,li1,60.2600,133.2800,1.800000
FILLER_45_105,VPWR,li1,54.5100,133.2800,1.800000
FILLER_45_97,VPWR,li1,51.0600,133.2800,1.800000
FILLER_45_85,VPWR,li1,47.3800,133.2800,1.800000
FILLER_45_81,VPWR,li1,43.4700,133.2800,1.800000
FILLER_45_69,VPWR,li1,40.0200,133.2800,1.800000
FILLER_45_57,VPWR,li1,34.5000,133.2800,1.800000
FILLER_45_53,VPWR,li1,30.5900,133.2800,1.800000
FILLER_45_41,VPWR,li1,27.1400,133.2800,1.800000
FILLER_45_29,VPWR,li1,21.6200,133.2800,1.800000
FILLER_45_27,VPWR,li1,18.1700,133.2800,1.800000
FILLER_45_15,VPWR,li1,15.1800,133.2800,1.800000
FILLER_45_3,VPWR,li1,9.6600,133.2800,1.800000
FILLER_44_265,VPWR,li1,128.8000,133.2800,1.800000
FILLER_44_253,VPWR,li1,124.6600,133.2800,1.800000
FILLER_44_251,VPWR,li1,121.2100,133.2800,1.800000
FILLER_44_245,VPWR,li1,119.6000,133.2800,1.800000
FILLER_44_233,VPWR,li1,115.4600,133.2800,1.800000
FILLER_44_221,VPWR,li1,109.9400,133.2800,1.800000
FILLER_44_209,VPWR,li1,104.4200,133.2800,1.800000
FILLER_44_197,VPWR,li1,98.9000,133.2800,1.800000
FILLER_44_195,VPWR,li1,95.4500,133.2800,1.800000
FILLER_44_189,VPWR,li1,93.8400,133.2800,1.800000
FILLER_44_177,VPWR,li1,89.7000,133.2800,1.800000
FILLER_44_165,VPWR,li1,84.1800,133.2800,1.800000
FILLER_44_153,VPWR,li1,78.6600,133.2800,1.800000
FILLER_44_141,VPWR,li1,73.1400,133.2800,1.800000
FILLER_44_139,VPWR,li1,69.6900,133.2800,1.800000
FILLER_44_133,VPWR,li1,68.0800,133.2800,1.800000
FILLER_44_121,VPWR,li1,63.9400,133.2800,1.800000
FILLER_44_109,VPWR,li1,58.4200,133.2800,1.800000
FILLER_44_97,VPWR,li1,52.9000,133.2800,1.800000
FILLER_44_85,VPWR,li1,47.3800,133.2800,1.800000
FILLER_44_83,VPWR,li1,43.9300,133.2800,1.800000
FILLER_44_77,VPWR,li1,42.3200,133.2800,1.800000
FILLER_44_65,VPWR,li1,38.1800,133.2800,1.800000
FILLER_44_53,VPWR,li1,32.6600,133.2800,1.800000
FILLER_44_41,VPWR,li1,27.1400,133.2800,1.800000
FILLER_44_29,VPWR,li1,21.6200,133.2800,1.800000
FILLER_44_27,VPWR,li1,18.1700,133.2800,1.800000
FILLER_44_15,VPWR,li1,15.1800,133.2800,1.800000
FILLER_44_3,VPWR,li1,9.6600,133.2800,1.800000
FILLER_43_269,VPWR,li1,129.7200,127.8400,1.800000
FILLER_43_261,VPWR,li1,127.4200,127.8400,1.800000
FILLER_43_249,VPWR,li1,122.8200,127.8400,1.800000
FILLER_43_237,VPWR,li1,117.3000,127.8400,1.800000
FILLER_43_225,VPWR,li1,111.7800,127.8400,1.800000
FILLER_43_223,VPWR,li1,108.3300,127.8400,1.800000
FILLER_43_217,VPWR,li1,106.7200,127.8400,1.800000
FILLER_43_205,VPWR,li1,102.5800,127.8400,1.800000
FILLER_43_193,VPWR,li1,97.0600,127.8400,1.800000
FILLER_43_181,VPWR,li1,91.5400,127.8400,1.800000
FILLER_43_169,VPWR,li1,86.0200,127.8400,1.800000
FILLER_43_167,VPWR,li1,82.5700,127.8400,1.800000
FILLER_43_161,VPWR,li1,80.9600,127.8400,1.800000
FILLER_43_149,VPWR,li1,76.8200,127.8400,1.800000
FILLER_43_137,VPWR,li1,71.3000,127.8400,1.800000
FILLER_43_125,VPWR,li1,65.7800,127.8400,1.800000
FILLER_43_113,VPWR,li1,60.2600,127.8400,1.800000
FILLER_43_111,VPWR,li1,56.8100,127.8400,1.800000
FILLER_43_105,VPWR,li1,55.2000,127.8400,1.800000
FILLER_43_93,VPWR,li1,51.0600,127.8400,1.800000
FILLER_43_81,VPWR,li1,45.5400,127.8400,1.800000
FILLER_43_69,VPWR,li1,40.0200,127.8400,1.800000
FILLER_43_57,VPWR,li1,34.5000,127.8400,1.800000
FILLER_43_55,VPWR,li1,31.0500,127.8400,1.800000
FILLER_43_51,VPWR,li1,29.9000,127.8400,1.800000
FILLER_43_39,VPWR,li1,26.2200,127.8400,1.800000
FILLER_43_27,VPWR,li1,20.7000,127.8400,1.800000
FILLER_43_15,VPWR,li1,15.1800,127.8400,1.800000
FILLER_43_3,VPWR,li1,9.6600,127.8400,1.800000
FILLER_42_265,VPWR,li1,128.8000,127.8400,1.800000
FILLER_42_253,VPWR,li1,124.6600,127.8400,1.800000
FILLER_42_251,VPWR,li1,121.2100,127.8400,1.800000
FILLER_42_245,VPWR,li1,119.6000,127.8400,1.800000
FILLER_42_233,VPWR,li1,115.4600,127.8400,1.800000
FILLER_42_221,VPWR,li1,109.9400,127.8400,1.800000
FILLER_42_209,VPWR,li1,104.4200,127.8400,1.800000
FILLER_42_197,VPWR,li1,98.9000,127.8400,1.800000
FILLER_42_195,VPWR,li1,95.4500,127.8400,1.800000
FILLER_42_189,VPWR,li1,93.8400,127.8400,1.800000
FILLER_42_177,VPWR,li1,89.7000,127.8400,1.800000
FILLER_42_165,VPWR,li1,84.1800,127.8400,1.800000
FILLER_42_153,VPWR,li1,78.6600,127.8400,1.800000
FILLER_42_141,VPWR,li1,73.1400,127.8400,1.800000
FILLER_42_139,VPWR,li1,69.6900,127.8400,1.800000
FILLER_42_133,VPWR,li1,68.0800,127.8400,1.800000
FILLER_42_121,VPWR,li1,63.9400,127.8400,1.800000
FILLER_42_109,VPWR,li1,58.4200,127.8400,1.800000
FILLER_42_97,VPWR,li1,52.9000,127.8400,1.800000
FILLER_42_85,VPWR,li1,47.3800,127.8400,1.800000
FILLER_42_83,VPWR,li1,43.9300,127.8400,1.800000
FILLER_42_77,VPWR,li1,42.3200,127.8400,1.800000
FILLER_42_65,VPWR,li1,38.1800,127.8400,1.800000
FILLER_42_53,VPWR,li1,32.6600,127.8400,1.800000
FILLER_42_41,VPWR,li1,27.1400,127.8400,1.800000
FILLER_42_29,VPWR,li1,21.6200,127.8400,1.800000
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.800000
FILLER_42_15,VPWR,li1,15.1800,127.8400,1.800000
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.800000
FILLER_41_269,VPWR,li1,129.7200,122.4000,1.800000
