net,length_um
net75,295.09µm
net81,286.72µm
net77,286.25µm
net69,259.83µm
net73,255.31µm
net86,253.58µm
net96,247.18µm
net83,236.5µm
net59,235.84µm
net67,234.78µm
net63,234.27µm
net65,231.42µm
net88,216.71µm
net78,203.05µm
net82,199.86µm
net71,196.54µm
net61,191.6µm
net79,188.84µm
clknet_0_clk,188.22µm
net84,180.8µm
net76,180.32µm
net94,180.1µm
net99,177.88µm
net91,172.57µm
net85,172.18µm
net87,169.5µm
net97,169.46µm
net95,160.65µm
net70,156.64µm
net89,156.06µm
net68,154.16µm
net66,144.06µm
net1,136.02µm
clknet_3_6__leaf_clk,135.44µm
net93,133.89µm
net74,132.47µm
net4,130.8µm
clknet_3_4__leaf_clk,128.72µm
net62,126.34µm
clknet_3_2__leaf_clk,121.58µm
net3,120.7µm
clknet_3_1__leaf_clk,119.04µm
clknet_3_0__leaf_clk,115.7µm
net100,111.96µm
net90,111.43µm
net10,107.955µm
clknet_3_3__leaf_clk,107.5µm
net17,107.32µm
clknet_3_5__leaf_clk,105.3µm
net12,105.28µm
net72,100.22µm
clknet_3_7__leaf_clk,99.96µm
clk,99.07µm
net92,97.9µm
net80,94.08µm
net64,93.92µm
net98,90.16µm
_249_,85.97µm
net24,85.36µm
net60,84.25µm
net2,84.2µm
_184_,76.89µm
net19,75.61µm
_251_,71.25µm
net23,70.61µm
net20,69.455µm
net13,65.7µm
net11,64.66µm
net22,63.08µm
net25,63.05µm
_247_,62.4µm
net26,61.8µm
net15,60.46µm
net14,59.88µm
_252_,58.46µm
_253_,58.18µm
net16,57.72µm
net18,55.66µm
_250_,55.42µm
_121_,49.2µm
net49,48.3µm
net21,47.9µm
_180_,46.28µm
_112_,40.82µm
_181_,39.96µm
_113_,38.18µm
reg_array\[1\]\[10\],33.26µm
_248_,33.02µm
net8,31.3µm
reg_array\[4\]\[1\],30.36µm
net7,29.425µm
reg_array\[5\]\[1\],28.96µm
net9,28.28µm
reg_array\[2\]\[1\],27.78µm
reg_array\[6\]\[9\],27.67µm
_194_,27.44µm
reg_array\[2\]\[6\],26.88µm
reg_array\[1\]\[14\],26.6µm
reg_array\[7\]\[10\],26.22µm
reg_array\[4\]\[0\],25.98µm
reg_array\[1\]\[1\],25.78µm
reg_array\[4\]\[12\],25.68µm
net33,25.5µm
reg_array\[4\]\[2\],25.08µm
net36,24.84µm
net39,24.8µm
reg_array\[4\]\[3\],24.76µm
reg_array\[7\]\[5\],24.74µm
reg_array\[5\]\[11\],24.68µm
net5,24.58µm
reg_array\[6\]\[3\],23.955µm
_119_,23.66µm
