Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_38_225,VPWR,li1,109.9400,116.9600,1.799940
FILLER_38_223,VPWR,li1,108.3300,116.9600,1.799940
FILLER_38_215,VPWR,li1,106.2600,116.9600,1.799940
FILLER_38_203,VPWR,li1,101.6600,116.9600,1.799940
FILLER_38_197,VPWR,li1,96.6000,116.9600,1.799940
FILLER_38_193,VPWR,li1,94.9900,116.9600,1.799940
FILLER_38_181,VPWR,li1,91.5400,116.9600,1.799940
FILLER_38_169,VPWR,li1,86.0200,116.9600,1.799940
FILLER_38_167,VPWR,li1,82.5700,116.9600,1.799940
FILLER_38_161,VPWR,li1,80.9600,116.9600,1.799940
FILLER_38_154,VPWR,li1,77.0500,116.9600,1.799941
FILLER_38_147,VPWR,li1,73.8300,116.9600,1.799942
FILLER_38_141,VPWR,li1,70.8400,116.9600,1.799943
FILLER_38_139,VPWR,li1,69.6900,116.9600,1.799943
FILLER_38_131,VPWR,li1,67.6200,116.9600,1.799944
FILLER_38_119,VPWR,li1,63.0200,116.9600,1.799946
FILLER_38_113,VPWR,li1,57.9600,116.9600,1.799949
FILLER_38_93,VPWR,li1,48.5300,116.9600,1.799956
FILLER_38_85,VPWR,li1,46.4600,116.9600,1.799958
FILLER_38_83,VPWR,li1,43.9300,116.9600,1.799961
FILLER_38_77,VPWR,li1,42.3200,116.9600,1.799961
FILLER_38_57,VPWR,li1,32.2000,116.9600,1.799975
FILLER_38_53,VPWR,li1,30.5900,116.9600,1.799975
FILLER_38_41,VPWR,li1,27.1400,116.9600,1.799980
FILLER_38_29,VPWR,li1,21.6200,116.9600,1.799987
FILLER_38_27,VPWR,li1,18.1700,116.9600,1.799987
FILLER_38_15,VPWR,li1,15.1800,116.9600,1.799987
FILLER_38_3,VPWR,li1,9.6600,116.9600,1.799987
FILLER_37_225,VPWR,li1,109.9400,111.5200,1.799944
FILLER_37_223,VPWR,li1,108.3300,111.5200,1.799944
FILLER_37_217,VPWR,li1,106.7200,111.5200,1.799944
FILLER_37_205,VPWR,li1,102.5800,111.5200,1.799944
FILLER_37_193,VPWR,li1,97.0600,111.5200,1.799944
FILLER_37_181,VPWR,li1,91.5400,111.5200,1.799944
FILLER_37_169,VPWR,li1,86.0200,111.5200,1.799944
FILLER_37_167,VPWR,li1,82.5700,111.5200,1.799945
FILLER_37_161,VPWR,li1,80.9600,111.5200,1.799945
FILLER_37_149,VPWR,li1,76.8200,111.5200,1.799945
FILLER_37_137,VPWR,li1,71.3000,111.5200,1.799948
FILLER_37_125,VPWR,li1,65.7800,111.5200,1.799950
FILLER_37_113,VPWR,li1,60.2600,111.5200,1.799953
FILLER_37_106,VPWR,li1,55.6600,111.5200,1.799955
FILLER_37_99,VPWR,li1,51.5200,111.5200,1.799958
FILLER_37_91,VPWR,li1,49.2200,111.5200,1.799959
FILLER_37_79,VPWR,li1,44.6200,111.5200,1.799965
FILLER_37_67,VPWR,li1,39.1000,111.5200,1.799970
FILLER_37_61,VPWR,li1,33.8100,111.5200,1.799975
FILLER_37_57,VPWR,li1,32.6600,111.5200,1.799978
FILLER_37_55,VPWR,li1,31.0500,111.5200,1.799978
FILLER_37_51,VPWR,li1,29.9000,111.5200,1.799980
FILLER_37_39,VPWR,li1,26.2200,111.5200,1.799983
FILLER_37_27,VPWR,li1,20.7000,111.5200,1.799989
FILLER_37_15,VPWR,li1,15.1800,111.5200,1.799989
FILLER_37_3,VPWR,li1,9.6600,111.5200,1.799989
FILLER_36_221,VPWR,li1,109.0200,111.5200,1.799944
FILLER_36_209,VPWR,li1,104.4200,111.5200,1.799944
FILLER_36_197,VPWR,li1,98.9000,111.5200,1.799944
FILLER_36_195,VPWR,li1,95.4500,111.5200,1.799944
FILLER_36_191,VPWR,li1,94.3000,111.5200,1.799944
FILLER_36_179,VPWR,li1,90.6200,111.5200,1.799944
FILLER_36_165,VPWR,li1,82.8000,111.5200,1.799945
FILLER_36_139,VPWR,li1,69.6900,111.5200,1.799948
FILLER_36_131,VPWR,li1,67.6200,111.5200,1.799949
FILLER_36_119,VPWR,li1,63.0200,111.5200,1.799951
FILLER_36_85,VPWR,li1,45.5400,111.5200,1.799963
FILLER_36_81,VPWR,li1,43.4700,111.5200,1.799965
FILLER_36_49,VPWR,li1,28.5200,111.5200,1.799980
FILLER_36_41,VPWR,li1,26.2200,111.5200,1.799983
FILLER_36_29,VPWR,li1,21.6200,111.5200,1.799989
FILLER_36_27,VPWR,li1,18.1700,111.5200,1.799989
FILLER_36_15,VPWR,li1,15.1800,111.5200,1.799989
FILLER_36_3,VPWR,li1,9.6600,111.5200,1.799989
FILLER_35_225,VPWR,li1,109.9400,106.0800,1.799898
FILLER_35_220,VPWR,li1,107.6400,106.0800,1.799898
FILLER_35_203,VPWR,li1,99.1300,106.0800,1.799901
FILLER_35_197,VPWR,li1,97.5200,106.0800,1.799901
FILLER_35_185,VPWR,li1,93.3800,106.0800,1.799903
FILLER_35_166,VPWR,li1,82.3400,106.0800,1.799910
FILLER_35_158,VPWR,li1,80.0400,106.0800,1.799912
FILLER_35_131,VPWR,li1,67.1600,106.0800,1.799927
FILLER_35_119,VPWR,li1,63.0200,106.0800,1.799930
FILLER_35_103,VPWR,li1,53.8200,106.0800,1.799940
