Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_38_225,VGND,li1,109.9400,114.2400,0.000056
FILLER_38_223,VGND,li1,108.3300,114.2400,0.000056
FILLER_38_215,VGND,li1,106.2600,114.2400,0.000056
FILLER_38_203,VGND,li1,101.6600,114.2400,0.000056
FILLER_38_197,VGND,li1,96.6000,114.2400,0.000056
FILLER_38_193,VGND,li1,94.9900,114.2400,0.000056
FILLER_38_181,VGND,li1,91.5400,114.2400,0.000056
FILLER_38_169,VGND,li1,86.0200,114.2400,0.000056
FILLER_38_167,VGND,li1,82.5700,114.2400,0.000056
FILLER_38_161,VGND,li1,80.9600,114.2400,0.000056
FILLER_38_154,VGND,li1,77.0500,114.2400,0.000055
FILLER_38_147,VGND,li1,73.8300,114.2400,0.000054
FILLER_38_141,VGND,li1,70.8400,114.2400,0.000053
FILLER_38_139,VGND,li1,69.6900,114.2400,0.000053
FILLER_38_131,VGND,li1,67.6200,114.2400,0.000052
FILLER_38_119,VGND,li1,63.0200,114.2400,0.000050
FILLER_38_113,VGND,li1,57.9600,114.2400,0.000048
FILLER_38_93,VGND,li1,48.5300,114.2400,0.000040
FILLER_38_85,VGND,li1,46.4600,114.2400,0.000038
FILLER_38_83,VGND,li1,43.9300,114.2400,0.000035
FILLER_38_77,VGND,li1,42.3200,114.2400,0.000035
FILLER_38_57,VGND,li1,32.2000,114.2400,0.000023
FILLER_38_53,VGND,li1,30.5900,114.2400,0.000020
FILLER_38_41,VGND,li1,27.1400,114.2400,0.000016
FILLER_38_29,VGND,li1,21.6200,114.2400,0.000013
FILLER_38_27,VGND,li1,18.1700,114.2400,0.000013
FILLER_38_15,VGND,li1,15.1800,114.2400,0.000013
FILLER_38_3,VGND,li1,9.6600,114.2400,0.000013
FILLER_37_225,VGND,li1,109.9400,114.2400,0.000056
FILLER_37_223,VGND,li1,108.3300,114.2400,0.000056
FILLER_37_217,VGND,li1,106.7200,114.2400,0.000056
