net,length_um
net30,89.62µm
_03_,82.2µm
net2,52.35µm
net31,51.38µm
net1,37.22µm
net7,33.22µm
net6,26.785µm
net4,20.74µm
net3,19µm
net8,17.94µm
net5,17.52µm
net29,15.98µm
net10,15.22µm
net11,14.94µm
net12,14.92µm
net21,14.14µm
net22,12.74µm
net23,12.28µm
net20,11.84µm
net13,10.78µm
net17,10.78µm
net18,10.78µm
net25,10.66µm
instr[9],9.98µm
net24,9.66µm
instr[11],9.64µm
instr[12],9.64µm
net28,9.42µm
_05_,9.18µm
instr[13],9.06µm
ImmExt[12],8.96µm
ImmExt[8],8.96µm
ImmExt[9],8.96µm
net9,8.94µm
ImmExt[0],8.5µm
ImmExt[11],8.5µm
ImmExt[13],8.5µm
ImmExt[6],8.5µm
ImmExt[7],8.5µm
net15,7.98µm
instr[10],6.31µm
instr[14],6.31µm
instr[7],5.97µm
_02_,5.82µm
instr[6],5.63µm
ImmSrc[1],5.41µm
net26,5.22µm
ImmExt[10],5.07µm
ImmExt[2],5.07µm
ImmExt[4],5.07µm
ImmExt[5],5.07µm
ImmSrc[0],4.95µm
net14,4.92µm
net27,4.76µm
ImmExt[15],4.73µm
ImmExt[14],4.39µm
ImmExt[1],4.39µm
ImmExt[3],4.39µm
instr[15],3.93µm
instr[8],3.93µm
_01_,2.4µm
_04_,2.06µm
net16,2.04µm
net19,1.6µm
_00_,0.46µm
