Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_16_85,VGND,li1,47.3800,54.4000,0.000003
FILLER_16_76,VGND,li1,42.3200,54.4000,0.000003
FILLER_16_70,VGND,li1,38.4100,54.4000,0.000003
FILLER_16_63,VGND,li1,35.1900,54.4000,0.000003
FILLER_16_57,VGND,li1,32.2000,54.4000,0.000003
FILLER_16_48,VGND,li1,29.4400,54.4000,0.000003
FILLER_16_42,VGND,li1,25.5300,54.4000,0.000002
FILLER_16_37,VGND,li1,22.7700,54.4000,0.000002
FILLER_16_29,VGND,li1,20.7000,54.4000,0.000002
FILLER_16_27,VGND,li1,18.1700,54.4000,0.000002
FILLER_16_15,VGND,li1,15.1800,54.4000,0.000002
FILLER_16_3,VGND,li1,9.6600,54.4000,0.000002
FILLER_15_93,VGND,li1,49.2200,54.4000,0.000003
FILLER_15_81,VGND,li1,45.5400,54.4000,0.000003
FILLER_15_69,VGND,li1,40.0200,54.4000,0.000003
FILLER_15_57,VGND,li1,34.5000,54.4000,0.000003
FILLER_15_55,VGND,li1,31.0500,54.4000,0.000003
FILLER_15_51,VGND,li1,29.9000,54.4000,0.000003
FILLER_15_39,VGND,li1,26.2200,54.4000,0.000002
FILLER_15_27,VGND,li1,20.7000,54.4000,0.000002
FILLER_15_15,VGND,li1,15.1800,54.4000,0.000002
FILLER_15_3,VGND,li1,9.6600,54.4000,0.000002
FILLER_14_85,VGND,li1,47.3800,48.9600,0.000001
FILLER_14_81,VGND,li1,43.4700,48.9600,0.000001
FILLER_14_73,VGND,li1,40.9400,48.9600,0.000001
FILLER_14_65,VGND,li1,36.3400,48.9600,0.000001
FILLER_14_53,VGND,li1,32.6600,48.9600,0.000001
FILLER_14_41,VGND,li1,27.1400,48.9600,0.000001
FILLER_14_29,VGND,li1,21.6200,48.9600,0.000001
FILLER_14_27,VGND,li1,18.1700,48.9600,0.000001
FILLER_14_15,VGND,li1,15.1800,48.9600,0.000001
FILLER_14_3,VGND,li1,9.6600,48.9600,0.000001
FILLER_13_85,VGND,li1,47.3800,48.9600,0.000001
FILLER_13_73,VGND,li1,41.8600,48.9600,0.000001
FILLER_13_61,VGND,li1,34.2700,48.9600,0.000001
FILLER_13_55,VGND,li1,31.0500,48.9600,0.000001
FILLER_13_51,VGND,li1,29.9000,48.9600,0.000001
FILLER_13_39,VGND,li1,26.2200,48.9600,0.000001
FILLER_13_27,VGND,li1,20.7000,48.9600,0.000001
FILLER_13_15,VGND,li1,15.1800,48.9600,0.000001
FILLER_13_3,VGND,li1,9.6600,48.9600,0.000001
FILLER_12_93,VGND,li1,48.5300,43.5200,0.000003
FILLER_12_85,VGND,li1,46.4600,43.5200,0.000003
FILLER_12_83,VGND,li1,43.9300,43.5200,0.000003
FILLER_12_77,VGND,li1,42.3200,43.5200,0.000003
FILLER_12_65,VGND,li1,38.1800,43.5200,0.000002
FILLER_12_47,VGND,li1,27.8300,43.5200,0.000002
FILLER_12_33,VGND,li1,20.9300,43.5200,0.000002
FILLER_12_29,VGND,li1,19.7800,43.5200,0.000002
FILLER_12_26,VGND,li1,17.9400,43.5200,0.000002
FILLER_12_18,VGND,li1,15.6400,43.5200,0.000002
FILLER_12_6,VGND,li1,11.0400,43.5200,0.000002
FILLER_11_92,VGND,li1,48.0700,43.5200,0.000003
FILLER_11_81,VGND,li1,44.6200,43.5200,0.000003
FILLER_11_69,VGND,li1,40.0200,43.5200,0.000003
FILLER_11_57,VGND,li1,34.5000,43.5200,0.000002
FILLER_11_55,VGND,li1,31.0500,43.5200,0.000002
FILLER_11_43,VGND,li1,28.0600,43.5200,0.000002
FILLER_11_31,VGND,li1,22.5400,43.5200,0.000002
FILLER_11_19,VGND,li1,17.0200,43.5200,0.000002
FILLER_11_7,VGND,li1,11.5000,43.5200,0.000002
FILLER_10_85,VGND,li1,46.4600,38.0800,0.000004
FILLER_10_83,VGND,li1,43.9300,38.0800,0.000003
FILLER_10_77,VGND,li1,42.3200,38.0800,0.000003
FILLER_10_65,VGND,li1,38.1800,38.0800,0.000003
FILLER_10_53,VGND,li1,32.6600,38.0800,0.000002
FILLER_10_41,VGND,li1,27.1400,38.0800,0.000002
FILLER_10_29,VGND,li1,21.6200,38.0800,0.000002
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000002
FILLER_10_19,VGND,li1,16.1000,38.0800,0.000002
FILLER_10_7,VGND,li1,11.5000,38.0800,0.000003
FILLER_9_93,VGND,li1,48.5300,38.0800,0.000004
FILLER_9_87,VGND,li1,46.9200,38.0800,0.000004
FILLER_9_77,VGND,li1,41.1700,38.0800,0.000003
FILLER_9_69,VGND,li1,39.1000,38.0800,0.000003
FILLER_9_57,VGND,li1,34.5000,38.0800,0.000003
FILLER_9_55,VGND,li1,31.0500,38.0800,0.000002
FILLER_9_47,VGND,li1,28.9800,38.0800,0.000002
FILLER_9_35,VGND,li1,24.3800,38.0800,0.000002
FILLER_9_26,VGND,li1,18.1700,38.0800,0.000002
FILLER_9_18,VGND,li1,15.6400,38.0800,0.000002
FILLER_9_6,VGND,li1,11.0400,38.0800,0.000003
FILLER_8_85,VGND,li1,47.3800,32.6400,0.000004
FILLER_8_83,VGND,li1,43.9300,32.6400,0.000003
FILLER_8_77,VGND,li1,42.3200,32.6400,0.000003
FILLER_8_65,VGND,li1,38.1800,32.6400,0.000003
FILLER_8_46,VGND,li1,26.9100,32.6400,0.000002
FILLER_8_40,VGND,li1,25.3000,32.6400,0.000002
FILLER_8_29,VGND,li1,19.3200,32.6400,0.000002
FILLER_8_27,VGND,li1,18.1700,32.6400,0.000002
FILLER_8_15,VGND,li1,15.1800,32.6400,0.000003
FILLER_8_3,VGND,li1,9.6600,32.6400,0.000003
FILLER_7_87,VGND,li1,46.9200,32.6400,0.000004
FILLER_7_75,VGND,li1,42.7800,32.6400,0.000003
FILLER_7_57,VGND,li1,32.6600,32.6400,0.000003
FILLER_7_45,VGND,li1,27.1400,32.6400,0.000002
FILLER_7_33,VGND,li1,23.4600,32.6400,0.000002
FILLER_7_19,VGND,li1,16.1000,32.6400,0.000003
FILLER_7_7,VGND,li1,11.5000,32.6400,0.000003
FILLER_6_85,VGND,li1,46.4600,27.2000,0.000003
FILLER_6_83,VGND,li1,43.9300,27.2000,0.000003
FILLER_6_77,VGND,li1,42.3200,27.2000,0.000003
FILLER_6_65,VGND,li1,38.1800,27.2000,0.000003
FILLER_6_53,VGND,li1,32.6600,27.2000,0.000002
FILLER_6_41,VGND,li1,27.1400,27.2000,0.000002
FILLER_6_29,VGND,li1,21.6200,27.2000,0.000002
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000002
FILLER_6_19,VGND,li1,16.1000,27.2000,0.000002
FILLER_6_7,VGND,li1,11.5000,27.2000,0.000002
FILLER_5_93,VGND,li1,48.5300,27.2000,0.000003
FILLER_5_81,VGND,li1,45.5400,27.2000,0.000003
FILLER_5_69,VGND,li1,40.0200,27.2000,0.000003
FILLER_5_57,VGND,li1,34.5000,27.2000,0.000002
FILLER_5_54,VGND,li1,30.8200,27.2000,0.000002
FILLER_5_42,VGND,li1,27.6000,27.2000,0.000002
FILLER_5_27,VGND,li1,18.6300,27.2000,0.000002
FILLER_5_19,VGND,li1,16.1000,27.2000,0.000002
FILLER_5_7,VGND,li1,11.5000,27.2000,0.000002
FILLER_4_93,VGND,li1,48.5300,21.7600,0.000001
FILLER_4_85,VGND,li1,46.4600,21.7600,0.000001
FILLER_4_73,VGND,li1,39.5600,21.7600,0.000001
FILLER_4_65,VGND,li1,37.2600,21.7600,0.000001
