HEX  - Imm | Rs2 | RD | FUNC  | OP
2901 - 001 | 010 | 010 | 0000 | 001 - ADDI x2, x2, 1
6881 - 011 | 010 | 001 | 0000 | 001 - ADDI x1, x2, 3

3101 - 001 | 100 | 010 | 0000 | 001 - ADDI x2, x4, 1
4C81 - 010 | 011 | 001 | 0000 | 001 - ADDI x1, x3, 2
7D01 - 011 | 111 | 010 | 0000 | 001 - ADDI x2, x7, 3
2481 - 001 | 001 | 001 | 0000 | 001 - ADDI x1, x1, 1
5581 - 010 | 101 | 011 | 0000 | 001 - ADDI x3, x5, 2
6E01 - 011 | 011 | 100 | 0000 | 001 - ADDI x4, x3, 3
1881 - 000 | 110 | 001 | 0000 | 001 - ADDI x1, x6, 0
7081 - 011 | 100 | 001 | 0000 | 001 - ADDI x1, x4, 3
